detonować,abash
skrót,abbreviation
aberracja,aberration
podjudzać,abet
podżegać,abet
abnegacja,abnegation
ohydny,abominable
wstrętny,abominable
ohyda,abomination
aborcja,abortion
obfitować,abound
obmacać,about
około,about
z,about
ponad,above
powyżej,above
ropień,abscess
absolutny,absolute
bezwzględność,absoluteness
rozgrzeszenie,absolution
absolutyzm,absolutism
rozgrzeszyć,absolve
absorbować,absorb
chłonąć,absorb
pochłaniać,absorb
wchłaniać,absorb
absorpcja,absorption
absorpcyjny,absorptive
abstrahować,abstract
abstrakcja,abstraction
Abisyńczyk,Abyssinian
abisyński,Abyssinian
akademicki,academic(al)
przyspieszać,accelerate
przyspieszenie,acceleration
akcelerator,Accelerator
akcentować,accent
akcentowanie,accentuation
akceptować,accept
akceptacja,acceptance
przystępność,accessibility
dodatki,accessories
przygodny,accidental
przypadkowy,accidental
przypadkowo,accidentally
okrzyknąć,acclaim
rozlokować,accommodate
towarzyszyć,accompany
wtórować,accompany
planowo,according
podług,according
przepisowo,according
zgodnie,according
stosownie,accordingly~
gromadzić,accumulate
oskarżenie,accusation
skarżyć,accuse
zaskarżyć,accuse
podsądny,accused
przyzwyczajać,accustom
przywyknąć,accustomed
acetylen,acetylene
boleć,ache
dokazać,achieve
dokonać,achieve
uznawać,acknowledge
zapoznać,acquaint
zapoznanie,acquaintance
znajomość,acquaintance
znajomy,acquaintance
nabywać,acquire
nabytek,acquisition
uiścić,acquit
poprzez,across
działać,act
postępek,act
faktyczny,actual
adaptować,adapt
adaptacja,adaptation
dodawać,add
dosypać,add
przydać,add
żmija,adder
wierzchowiec,addle-horse
adresować,address
wystosować,address
zagadnąć,address
przystawać,adhere
przytykać,adjoin
dostosować,adjust
podziw,admiration
wielbić,admire
podziwiać,admirepodzwrotnikowy
dopuszczać,admit
domieszać,admix
upominać,admonish
adoptować,adopt
uwielbienie,adoration
adorować,adore
czcić,adore
uwielbiać,adore
czciciel,adorer
przybierać,adorn
przystrajać,adorn
ukwiecić,adorn
przysłówek,adverb
niepowodzenie,adversity
"want,",adversity
awizować,advice
doradzać,advise
radzić,advise
aerodynamiczny,aerodynamic
aerodynamika,aerodynamics
aeronautyczny,aeronautic
aeronautyka,aeronautics
aerostatyczny,aerostatic
aerostatyka,aerostatics
twierdzić,affirm
twierdzący,affirmative
twierdząco,affirmatively
przyczepić,affix
zadrzewiać,afforest
zadrzewienie,afforestation
zalesienie,afforestation
według,after
poobiedni,after-dinner
posmak,aftertaste
potem,afterwards
znowu,again
przeciw,against
faktor,agent
agresja,aggression
zaczepny,aggressive
agitować,agitate
agnostycyzm,agnosticism
uzgadniać,agree
miło,agreeably
przyjemnie,agreeably
rolniczy,agricultural
rolnictwo,agriculture
agronom,agronomist
agrotechnika,agrotechnics
ach!,ah!
wspomagać,aid
zapomoga,aid
celować,aim
klimatyzacja,air
wywietrzyć,air
wentyl,air-regulator
trwożyć,alarm
zatrwożyć,alarm
olszyna,alder-forest
odstręczyć,alienate
pokarmowy,alimentary
żywnościowy,alimentary
żywcem,alive
nieledwie,all
raptem,all
samopas,all
tym~,all
wszystek,all
załagodzić,allay
rzekomo,Allegedly
łagodzić,alleviate
odciążać,alleviate
uśmierzyć,alleviate
przydzielić,allot
dozwalać,allow
nęcić,allure
niemal,almost
prawie,almost
wzdłuż,along
wzdłuż,alongside
już,already
glin,aluminium
stale,always
zespolić,amalgamate
zdumiony,amazed
novel,amendment
spomiędzy,among
wśród,among
pośród,among(st)
bawić,amuse
ubawić,amuse
zabawiać,amuse
rozrywka,amusement
come,an
przeciętnie,an
niedokrwistość,anaemia
i,and
oraz,and
powtórnie,anew
gniewać,anger
rozgniewać,anger
zwierzę,animal
dołączyć,annex
przyłączyć,annex
przyłączenie,annexation
zniweczyć,annihilate
rocznica,anniversary
adnotacja,annotation
zapowiadać,announce
zgłaszać,announce
zwiastować,announce
ogłoszenie,announcement
zapowiedź,announcement
zgłoszenie,announcement
szykanować,annoy
szykany,annoyances
kasować,annul
unieważnić,annul
unieważnienie,annulment
odpowiadać,answer
przedpotopowy,antediluvian
przeciw,anti-
przeciwlotniczy,anti-aircraft
antysemita,Anti-Semite
antysemicki,anti-Semitic
antysemityzm,anti-Semitism
przedterminowy,anticipated
antykwarski,antiquarian
antykwaryczny,antiquarian
antyseptyczny,antiseptic
niepokój,anxiety
cokolwiek,anything
gdziekolwiek,anywhere
apanaż,ap(p)anage
projekcyjny,aparat
rozstawiać,apart
apostrofa,apostrophe
apoteoza,apotheosis
widocznie,apparently
widnieć,appear
stawiennictwo,appearance
wygląd,appearance
uciszyć,appease
utulić,appease
apetyczny,appetising
oklaskiwać,applaud
przyklaskiwać,applaud
jabłoń,apple-tree
aplikować,apply
przykładać,apply
stosować,apply
zastosować,apply
mianować,appoint
nominacja,appointment
terminator,apprentice
praktykant,apprentice(probationer
dobiegać,approach
dochodzić,approach
dostąpić,approach
przywłaszczać,appropriate
przywłaszczenie,appropriation
aprobować,approve
przynależność,appurtenance
orli,aquiline
arbitralność,arbitrariness
samowola,arbitrariness
arbitraż,arbitration
arcy-,arch-
archeolog,archaeology
archaizować,archaise
arcybiskup,archbishop
archipelag,archipelago
architektura,architecture
zapał,ardour
teren,area
argumentować,argue
argumentacja,argumentation
aria,aria
arystokracja,aristocracy
arystokrata,aristocrat
arystokratyczny,aristocratic
arytmetyka,arithmetic
arytmetyczny,arithmetical
arytmometr,arithometer
uzbrajać,arm
zbroić,arm
opancerzyć,armour
aromatyczny,aromatic
układać,arrange
ułożyć,arrange
urządzać,arrange
urządzenie,arrangement
aresztować,arrest
przyjście,arrival
dojechać,arrive
dojść,arrive
towar,article
artykulacja,articulation
sztuczny,artificial
rzemieślnik,artisan
dopóki,as
niby,as
ponieważ,as
skoro,as
tyle,as
ascetyczny,ascetic(al)
ascetyzm,asceticism
popielec,Ash-Wednesday
popielaty,ashen
odchylać,aside
zapytać,ask
zapytywać,ask
żebrać,ask
zaczadzieć,asphyxiated
aspiracja,aspiration
przydech,aspiration
aspirować,aspire
osioł,ass
skupiać,assemble
asygnować,assign
przypisywać,assign
przyswajać,assimilate
asymilacja,assimilation
asymilacyjny,assimilative
asystować,assist
asocjacja,association
kojarzenie,association
stowarzyszenie,association
asortyment,assortment
zapewnić,assure
dziwić,astonish
zadziwiać,astonish
zdziwić,astonish
zdumienie,astonishment
zdziwienie,astonishment
okrakiem,astraddle
karakuły,astrakhan
astrologiczny,astrological
astronautyka,astronautics
astronom,astronomer
astrofizyka,astrophysics
rozrąbać,asunder
niesymetryczny,asymmetrical
bynajmniej,at
choćby,at
kiedyś,at
krzyczećczas.,at
opodal,at
początkowo,at
podówczas,at
przynajmniej,at
u,at
w,at
wówczas,at
wreszcie,at
współcześnie,at
zaraz,at
zarazem,at
zrazu,at
bezbożny,atheistic
atmosfera,atmosphere
atrofia,atrophy
doczepiać,attach
uwiązać,attach
przywiązanie,attachment
atakować,attack
szturmować,attack
poświadczać,attest
świadczyć,attest
stroić,attire
strój,attire
wystroić,attire
atrakcja,attraction
przyciąganie,attraction8gravitation
atrakcyjny,attractive
pociągający,attractive
potęgować,augment
